year,season,sown_000_acres,harvested_000_acres,gdp_billion_usd,inflation_pct,rainfall_mm,temperature_c,production_000_mt,season_binary,rainfall_mm_scaled,temperature_c_scaled,gdp_billion_usd_scaled,inflation_pct_scaled,sown_000_acres_scaled,harvested_000_acres_scaled,target_yield_production,yield_lag1,yield_lag2,rainfall_roll3,temp_roll3,rain_x_temp,inf_x_gdp,drought_flag,harvest_efficiency
1955,Maha,823.0,724.0,1.141,6.66,1371,25.71,405,1,0.4613614690825872,-1.1144250181983764,-0.6431676306815728,-0.2691305630416406,-0.3738085296142043,-0.5234463957795596,405,247.0,454.0,1168.3333333333333,27.055000000000003,-0.5141527635783919,0.17309606657548965,1,0.8797083839611178
1955,Yala,522.0,492.0,1.081,6.95,833,28.12,293,0,-0.4143146128485459,1.2277302299320072,-0.6468313679902916,-0.2137104003233811,-1.2191404891961204,-1.2057519804325556,293,405.0,247.0,996.3333333333334,27.575,-0.5086665748967358,0.13823459059492546,0,0.9425287356321839
1956,Maha,780.0,728.0,1.102,2.71,1095,26.76,422,1,0.0121298731476564,-0.0939839349880426,-0.64554905993224,-1.0239914000662091,-0.4945702381259066,-0.5116825063889907,422,293.0,405.0,1099.6666666666667,26.863333333333333,-0.0011400132093225429,0.6610366856914396,1,0.9333333333333333
1956,Yala,354.0,328.0,1.0,7.59,690,28.895000000000003,169,0,-0.6470686643655572,1.9809129342063028,-0.651777413357062,-0.0914038343244637,-1.6909536759395154,-1.6880714454458805,169,422.0,293.0,872.6666666666666,27.925,-1.2817866865613292,0.05957495470691638,0,0.9265536723163842
1957,Maha,841.0,716.0,0.834,3.18,1378,27.64,443,1,0.4727550240519514,0.7612428776072832,-0.6619137532445174,-0.9341725156607544,-0.3232571167488405,-0.5469741745606974,443,169.0,422.0,1054.3333333333333,27.765,0.35988139491260784,0.6183416360188827,1,0.8513674197384067
1957,Yala,428.0,411.0,0.77,1.62,422,28.69,232,0,-1.0832790546212143,1.781683960817617,-0.6658217397071508,-1.2322947702831155,-1.4831312008263533,-1.4439707405915758,232,443.0,169.0,830.0,28.40833333333333,-1.9300609167082887,0.8204886477819276,0,0.9602803738317757
1958,Maha,848.0,759.0,0.856,7.15,1434,26.27,458,1,0.5639034638068648,-0.5701897738195333,-0.6605703828979871,-0.1754895984487194,-0.3035982339678657,-0.4205123636120818,458,232.0,443.0,1078.0,27.533333333333335,-0.32153198848408765,0.11592323124188457,0,0.8950471698113207
1958,Yala,542.0,523.0,1.035,5.44,899,28.895000000000003,322,0,-0.3068896659945407,1.9809129342063028,-0.6496402332603094,-0.502277454477077,-1.1629722526790496,-1.114581837655647,322,458.0,232.0,918.3333333333334,27.951666666666668,-0.6079217087428378,0.3262996426878827,0,0.9649446494464945
1959,Maha,921.0,857.0,0.978,6.64,894,27.49,550,1,-0.3150279195440866,0.6154655800058049,-0.6531207837035923,-0.2729526432291069,-0.0985841706805571,-0.1322970735431438,550,322.0,458.0,1075.6666666666667,27.551666666666666,-0.1938888412202233,0.1782710442597613,1,0.9305103148751357
1959,Yala,482.0,469.0,0.489,8.16,615,28.895000000000003,303,0,-0.7691424676087448,1.9809129342063028,-0.6829802427696503,0.0175254510183221,-1.331476962230262,-1.2733943444283269,303,550.0,322.0,802.6666666666666,28.426666666666666,-1.5236042623335149,-0.011969536791141244,0,0.9730290456431535
1960,Maha,934.0,888.0,1.425,-0.21,1800,25.21,566,1,1.1596236236336208,-1.6003493435366305,-0.6258259407536372,-1.5820151074362705,-0.0620748169444611,-0.0411269307662349,566,303.0,550.0,1103.0,27.198333333333334,-1.8558029048316338,0.9900660928977704,0,0.9507494646680942
1960,Yala,548.0,536.0,1.41,-1.54,540,28.895000000000003,349,0,-0.8912162708519326,1.9809129342063028,-0.6267418750808169,-1.8361834399027703,-1.1461217817239282,-1.0763491971362975,349,566.0,303.0,985.0,27.666666666666668,-1.7654218381057007,1.1508130521170068,0,0.9781021897810219
1961,Maha,958.0,936.0,67.745,1.32,2320,24.775,631,1,2.006001992786389,-2.023103506580913,3.423825031150204,-1.2896259730951078,0.0053270668760238,0.1000397419205918,631,349.0,566.0,1553.3333333333333,26.293333333333333,-4.058349665814443,-4.41545368750447,0,0.9770354906054279
1961,Yala,538.0,519.0,1.44,1.13,510,28.895000000000003,334,0,-0.9400457921492076,1.9809129342063028,-0.6249100064264576,-1.3259357348760366,-1.1742058999824636,-1.1263457270462156,334,631.0,349.0,1123.3333333333333,27.521666666666665,-1.862148868414575,0.8285905086024538,0,0.9646840148698885
1962,Maha,1000.0,982.0,1.335,1.89,1762,26.3,660,1,1.0977728966570726,-0.541034314299237,-0.6313215467167154,-1.1806966877523222,0.1232803635618726,0.2353244699121341,660,334.0,631.0,1530.6666666666667,26.656666666666666,-0.5939328063991464,0.7453992591150987,0,0.982
1962,Yala,578.0,556.0,1.43,1.5,460,28.62,372,0,-1.021428327644666,1.7136545552702611,-0.625520629311244,-1.2552272514079126,-1.061869426948322,-1.0175297501834533,372,660.0,334.0,910.6666666666666,27.938333333333333,-1.7503753065503669,0.7851705402293006,0,0.9619377162629758
1963,Maha,1014.0,980.0,1.275,2.74,2470,25.56,672,1,2.2501495992727643,-1.2602023157998543,-0.6349852840254342,-1.01825827978501,0.1625981291238221,0.2294425252168496,672,372.0,660.0,1564.0,26.826666666666668,-2.8356437358996516,0.6465790230005346,0,0.9664694280078896
1963,Yala,562.0,544.0,1.24,2.27,680,28.895000000000003,368,0,-0.6633451714646489,1.9809129342063028,-0.6371224641221868,-1.108077164190465,-1.1068040161619788,-1.05282141835516,368,672.0,372.0,1203.3333333333333,27.691666666666666,-1.3140290299976207,0.705980853286554,0,0.9679715302491103
1964,Maha,985.0,796.0,1.5,1.71,1440,25.36,482,1,0.5736693680663199,-1.4545720459351554,-0.6212462691177387,-1.2150954094395177,0.0811541861740694,-0.3116963867493195,482,368.0,672.0,1530.0,26.605,-0.8344434263985546,0.7548734897363915,0,0.8081218274111676
1964,Yala,572.0,555.0,1.31,3.2,530,28.895000000000003,384,0,-0.9074927779510242,1.9809129342063028,-0.6328481039286815,-0.930350435473288,-1.0787198979034434,-1.0204707225310956,384,482.0,368.0,883.3333333333334,27.71666666666667,-1.7976641815419923,0.5887705090784935,0,0.9702797202797203
1965,Maha,1050.0,1007.0,1.725,0.03,1930,26.01,642,1,1.371218215921813,-0.8228704229954233,-0.6075072542100433,-1.536150145186676,0.2637009548545497,0.3088487786031897,642,384.0,482.0,1300.0,26.755000000000006,-1.128334913354612,0.9332223567567168,0,0.959047619047619
1965,Yala,471.0,447.0,1.7,0.22,520,28.36,276,0,-0.923769285050116,1.4609739060943676,-0.6090338114220094,-1.4998403834057474,-1.362369492314651,-1.3380957360764556,276,642.0,384.0,993.3333333333334,27.755000000000006,-1.3496028207096693,0.9134535052302503,0,0.9490445859872612
1966,Maha,1054.0,1006.0,1.8,1.02,1680,26.12,730,1,0.9643055384445206,-0.7159670714210081,-0.6029275825741447,-1.3469571759071006,0.2749346021579638,0.3059078062555475,730,276.0,642.0,1376.6666666666667,26.83,-0.6904110123151818,0.8121176339005651,0,0.9544592030360531
1966,Yala,567.0,505.0,1.75,-0.16,450,28.895000000000003,315,0,-1.037704834743758,1.9809129342063028,-0.6059806969980771,-1.5724599069676046,-1.092761957032711,-1.1675193399132069,315,730.0,276.0,883.3333333333334,27.791666666666668,-2.0556029290323243,0.9528803504257606,0,0.890652557319224
1967,Maha,1147.0,1078.0,1.83,4.03,2080,26.35,909,1,1.6153658224081884,-0.4924418817654109,-0.6010957139197853,-0.771734107693442,0.5361169019623433,0.5176578152857877,909,315.0,730.0,1403.3333333333333,27.12166666666667,-0.7954737853262189,0.463886064420238,0,0.939843068875327
1967,Yala,585.0,561.0,1.86,2.19,390,28.895000000000003,418,0,-1.135363877338308,1.9809129342063028,-0.599263845265426,-1.1233654849403296,-1.0422105441673473,-1.0028248884452422,418,909.0,315.0,973.3333333333334,28.046666666666667,-2.2490569896500725,0.6731923201438019,1,0.958974358974359
1968,Maha,1182.0,1079.0,1.89,6.66,1330,25.58,982,1,0.3946277899763112,-1.2407653427863248,-0.5974319766110665,-0.2691305630416406,0.6344113158672172,0.5205987876334298,982,418.0,909.0,1266.6666666666667,26.941666666666666,-0.48964048510296754,0.16078720424441661,1,0.9128595600676819
1968,Yala,596.0,556.0,1.8,5.86,650,28.895000000000003,439,0,-0.7121746927619239,1.9809129342063028,-0.6029275825741447,-0.4220137705402874,-1.0113180140829583,-1.0175297501834533,439,982.0,418.0,790.0,27.790000000000003,-1.4107560603064948,0.2544437424848553,0,0.9328859060402684
1969,Maha,1191.0,1115.0,2.14,6.67,1910,26.39,1034,1,1.3386652017236296,-0.4535679357383514,-0.5821664044914049,-0.2672195229479076,0.6596870222998991,0.6264737921485499,1034,439.0,982.0,1296.6666666666667,26.955000000000002,-0.6071756121905505,0.15556622888449181,0,0.9361880772460117
1969,Yala,527.0,461.0,1.97,7.46,385,28.895000000000003,395,0,-1.143502130887854,1.9809129342063028,-0.5925469935327747,-0.1162473555429938,-1.2050984300668526,-1.2969221232094643,395,1034.0,439.0,981.6666666666666,28.060000000000002,-2.2651781613682185,0.06888202103313651,1,0.8747628083491461
1970,Maha,1147.0,1089.0,2.34,4.27,1740,25.78,869,1,1.0619645810390708,-1.0463956126510203,-0.5699539467956756,-0.7258691454438481,0.5361169019623433,0.5500085111098522,869,395.0,1034.0,1345.0,27.021666666666665,-1.1112350783900626,0.4137119843029255,0,0.949433304272014
1970,Yala,684.0,661.0,2.3,5.87,550,26.5,584,0,-0.8749397637528409,-0.3466645841639361,-0.5723964383348215,-0.4201027304465543,-0.7641777734078466,-0.7087276536810198,584,869.0,395.0,891.6666666666666,27.058333333333334,0.3033106293698711,0.24046530664234123,0,0.966374269005848
1971,Maha,1186.0,1035.0,2.46,4.51,1730,25.41,885,1,1.045688073939979,-1.4059796134013294,-0.5626264721782379,-0.6800041831942539,0.6456449631706314,0.391196004337172,885,584.0,869.0,1340.0,25.896666666666665,-1.4702161139365124,0.3825883546570273,0,0.872681281618887
1971,Yala,646.0,625.0,2.37,2.67,470,27.9,530,0,-1.0051518205455745,1.0139235267831732,-0.5681220781413161,-1.0316355604411416,-0.8708974227902812,-0.8146026581961399,530,885.0,584.0,916.6666666666666,26.603333333333335,-1.019147078840096,0.5860949384823027,0,0.9674922600619195
1972,Maha,1176.0,1085.0,2.72,7.99,1800,26.1,878,1,1.1596236236336208,-0.7354040444345378,-0.5467502771737899,-0.0149622305751403,0.617560844912096,0.5382446217192832,878,530.0,885.0,1333.3333333333333,26.47,-0.852791902841999,0.008180603714096112,0,0.9226190476190477
1972,Yala,609.0,543.0,2.55,6.35,430,26.5,430,0,-1.0702578489419412,-0.3466645841639361,-0.5571308662151597,-0.3283728059473663,-0.9748086603468622,-1.0557623907028022,430,878.0,530.0,900.0,26.833333333333332,0.3710204921516468,0.18294662581895874,0,0.8916256157635468
1973,Maha,1318.0,1288.0,3.23,10.97,1770,26.32,1100,1,1.110794102336346,-0.5215973412857072,-0.5156085100496801,0.5545277173573191,1.016355324183299,1.1352620082906546,1100,430.0,878.0,1333.3333333333333,26.30666666666667,-0.5793872504944818,-0.2859192101278574,0,0.9772382397572079
1973,Yala,613.0,575.0,2.88,9.63,480,26.8,437,0,-0.9888753134464828,-0.0551099889609831,-0.5369803110172066,0.2984483447970857,-0.963575013043448,-0.961651275578251,437,1100.0,430.0,893.3333333333334,26.540000000000003,0.05449690760782437,-0.1602608850117096,0,0.9380097879282219
1974,Maha,1096.0,875.0,3.68,9.47,1330,26.2,720,1,0.3946277899763112,-0.6382191793668891,-0.4881304802342892,0.2678717032973563,0.3928878988438126,-0.0793595712855838,720,437.0,1100.0,1193.3333333333333,26.439999999999998,-0.2518590242740504,-0.13075634317171556,1,0.7983576642335767
1974,Yala,720.0,681.0,3.57,12.3,410,26.34,505,0,-1.1028108631401246,-0.5021603682721775,-0.4948473319669403,0.8086960498238194,-0.663074947677119,-0.6499082067281753,505,720.0,437.0,740.0,26.44666666666667,0.5537879091690029,-0.40018108262752083,0,0.9458333333333333
1975,Maha,1147.0,1052.0,3.69,3.98,1830,25.03,884,1,1.208453144930896,-1.7752821006584012,-0.4875198573495027,-0.7812893081621073,0.5361169019623433,0.4411925342470898,884,505.0,720.0,1190.0,25.85666666666667,-2.1453452376801723,0.3808940520638822,0,0.9171752397558849
1975,Yala,624.0,600.0,3.79,6.63,520,26.32,436,0,-0.923769285050116,-0.5215973412857072,-0.481413628501638,-0.2748636833228399,-0.9326824829590592,-0.8881269668871954,436,884.0,505.0,920.0,25.896666666666665,0.4818356030435391,0.13232312313177352,0,0.9615384615384616
1976,Maha,1329.0,1250.0,3.85,1.28,1350,25.62,1146,1,0.4271808041744946,-1.201891396759262,-0.4777498911929193,-1.2972701334700405,1.047247854267688,1.02350505908025,1146,436.0,884.0,1233.3333333333333,25.656666666666666,-0.5134249333980281,0.6197706651131357,1,0.9405568096313017
1976,Yala,642.0,518.0,3.59,1.33,460,26.57,371,0,-1.021428327644666,-0.2786351786165803,-0.4936260861973673,-1.2877149330013749,-0.8821310700936954,-1.1292866993938575,371,1146.0,436.0,776.6666666666666,26.169999999999998,0.28460586451730646,0.6356496825153737,0,0.8068535825545171
1977,Maha,1421.0,1366.0,3.42,6.68,1970,25.24,1288,1,1.4363242443181796,-1.5711938840163373,-0.5040066752387373,-0.2653084828541745,1.3056217422462135,1.3646578514067482,1288,371.0,1146.0,1260.0,25.810000000000002,-2.2567438681371113,0.13371724635596605,0,0.9612948627726953
1977,Yala,717.0,683.0,4.1,1.22,510,26.65,534,0,-0.9400457921492076,-0.2008872865624613,-0.4624843190732576,-1.308736374032439,-0.6715001831546797,-0.6440262620328908,534,1288.0,371.0,980.0,26.153333333333332,0.1888432484293138,0.6052700507907967,0,0.9525801952580195
1978,Maha,1428.0,1361.0,3.05,11.44,1710,26.46,1395,1,1.0131350597417956,-0.3855385301909956,-0.5265997219758365,0.6443466017627738,1.3252806250271885,1.349952989668537,1395,534.0,1288.0,1396.6666666666667,26.116666666666664,-0.3906026018178184,-0.33931274134435174,0,0.9530812324929971
1978,Yala,742.0,708.0,2.73,12.14,485,26.76,606,0,-0.9807370598969368,-0.0939839349880426,-0.5461396542890034,0.77811940832409,-0.6012898875083412,-0.5705019533418353,606,1395.0,534.0,901.6666666666666,26.623333333333335,0.09217352807771775,-0.4249618646576823,0,0.954177897574124
1979,Maha,1417.0,1382.0,3.69,18.44,1730,26.32,1453,1,1.045688073939979,-0.5215973412857072,-0.4875198573495027,1.9820746673759335,1.2943880949427995,1.4117134089690238,1453,606.0,1395.0,1308.3333333333333,26.513333333333332,-0.5454281191812651,-0.9663007590951781,0,0.9752999294283698
1979,Yala,647.0,575.0,3.36,10.73,435,26.99,524,0,-1.0621195953923954,0.1295412546675511,-0.5076704125474562,0.508662755107725,-0.8680890109644277,-0.961651275578251,524,1453.0,606.0,883.3333333333334,26.69,-0.1375883049941226,-0.2582330307330644,0,0.8887171561051005
1980,Maha,1474.0,1410.0,4.22,22.06,1320,26.58,1522,1,0.3783512828772196,-0.2689166921098171,-0.45515684445582,2.6738711813073097,1.4544675690164517,1.494060634703006,1522,524.0,1453.0,1161.6666666666667,26.63,-0.10174497544684757,-1.217030769365191,1,0.9565807327001357
1980,Yala,670.0,648.0,4.02,22.645000000000003,465,27.06,681,0,-1.0132900740951205,0.1975706602149069,-0.4673693021515493,2.785667026790696,-0.8034955389697962,-0.7469602942003687,681,1522.0,524.0,740.0,26.876666666666665,-0.2001963889281849,-1.301935254337749,0,0.9671641791044776
1981,Maha,1402.0,1183.0,4.6,14.4,1730,26.43,1363,1,1.045688073939979,-0.4146939897112919,-0.4319531748339343,1.2100144695077673,1.2522619175549965,0.8264599117882212,1363,681.0,1522.0,1171.6666666666667,26.689999999999998,-0.4336405593756863,-0.5226695916988788,0,0.8437945791726106
1981,Yala,692.0,671.0,4.42,17.97,470,26.76,707,0,-1.0051518205455745,-0.0939839349880426,-0.4429443867600907,1.8922557829704785,-0.7417104788010183,-0.6793179302045975,707,1363.0,681.0,888.3333333333334,26.75,0.09446812335526793,-0.8381640773810938,0,0.9696531791907514
1982,Maha,1440.0,1381.0,4.97,12.4,1440,26.14,1786,1,0.5736693680663199,-0.6965300984074784,-0.4093601280968351,0.8278064507611501,1.358981566937431,1.4087724366213814,1786,707.0,1363.0,1213.3333333333333,26.44333333333333,-0.3995779813925897,-0.3388709547229708,0,0.9590277777777778
1982,Yala,684.0,661.0,4.77,10.83,445,26.9,793,0,-1.0458430882933036,0.0420748761066655,-0.4215725857925644,0.5277731560450558,-0.7641777734078466,-0.7087276536810198,793,1786.0,707.0,785.0,26.599999999999998,-0.04400371836695318,-0.22249469410581676,0,0.966374269005848
1983,Maha,1499.0,1258.0,5.61,15.3,1390,26.51,1353,1,0.4922868325708614,-0.3369460976571695,-0.3702802634705013,1.382008077943745,1.52467786466279,1.047032837861388,1353,793.0,1786.0,1091.6666666666667,26.516666666666666,-0.16587412716276012,-0.511730315219371,0,0.8392261507671781
1983,Yala,596.0,541.0,5.17,13.96,460,27.2,698,0,-1.021428327644666,0.3336294713096185,-0.3971476704011058,1.1259287053835114,-1.0113180140829583,-1.061644335398087,698,1353.0,793.0,765.0,26.87,-0.34077859293275775,-0.4471599623807946,0,0.9077181208053692
1984,Maha,1405.0,1382.0,6.01,9.06,2070,26.5,1751,1,1.5990893153090966,-0.3466645841639361,-0.3458553480790427,0.1895190594542998,1.260687153032557,1.4117134089690238,1751,698.0,1353.0,1306.6666666666667,26.736666666666668,-0.5543476325326212,-0.06554618027517965,0,0.9836298932384342
1984,Yala,948.0,931.0,6.04,16.64,525,26.52,1060,0,-0.91563103150057,-0.3272276111504064,-0.3440234794246833,1.6380874505039782,-0.0227570513825115,0.0853348801823807,1060,1751.0,698.0,1018.3333333333334,26.74,0.299619755133114,-0.5635405443242872,0,0.9820675105485233
1985,Maha,1372.0,1302.0,6.2,4.73,1770,25.1,1688,1,1.110794102336346,-1.7072526951110454,-0.3342535132680998,-0.637961301132126,1.16800956277939,1.176435621157646,1688,1060.0,1751.0,1455.0,26.040000000000003,-1.896406224927181,0.2132408062325013,0,0.9489795918367347
1985,Yala,771.0,757.0,5.98,1.48,512,26.76,910,0,-0.9367904907293894,-0.0939839349880426,-0.3476872167334021,-1.2590493315953786,-0.5198459445585885,-0.4263943083073662,910,1688.0,1060.0,935.6666666666666,26.126666666666665,0.08804325657812745,0.4377553578324474,0,0.9818417639429312
1986,Maha,1255.0,1069.0,6.55,7.85,1650,25.23,1392,1,0.9154760171472456,-1.5809123705231003,-0.3128817123005735,-0.0417167918874036,0.8394253791545258,0.4911890641570076,1392,910.0,1688.0,1310.6666666666667,25.69666666666667,-1.4472873604252985,0.01305242127741751,0,0.851792828685259
1986,Yala,840.0,762.0,6.41,7.98,475,26.86,900,0,-0.9970135669960286,0.003200930079606,-0.321430432687584,-0.0168732706688733,-0.326065528574694,-0.4116894465691551,900,1392.0,910.0,879.0,26.28333333333333,-0.0031913707163728597,0.005423582691950664,0,0.9071428571428571
1987,Maha,1346.0,1232.0,6.83,10.9,1330,25.46,1525,1,0.3946277899763112,-1.357387180867503,-0.2957842715265525,0.5411504367011875,1.094990855307198,0.97056755682269,1525,900.0,1392.0,1151.6666666666667,25.849999999999998,-0.5356627033279182,-0.1600637877059365,1,0.9153046062407132
1987,Yala,676.0,608.0,6.68,7.72,425,27.24,735,0,-1.078396102491487,0.372503417336678,-0.3049436147983495,-0.0665603131059337,-0.7866450680146749,-0.8645991881060576,735,1525.0,900.0,743.3333333333334,26.52,-0.4017062334206334,0.02029714248063338,0,0.8994082840236687
1988,Maha,1159.0,1087.0,6.985,12.78,1960,26.35,1342,1,1.420047737219088,-0.4924418817654109,-0.2863196168123623,0.9004259743230072,0.5698178438725857,0.5441265664145677,1342,735.0,1525.0,1238.3333333333333,26.349999999999998,-0.6992909799128815,-0.2578096199360614,0,0.9378774805867127
1988,Yala,799.0,783.0,6.98,13.99,495,27.11,952,0,-0.9644605527978451,0.2461630927487329,-0.2866249282547555,1.1316618256647106,-0.4412104134346893,-0.3499290272686684,952,1342.0,735.0,960.0,26.900000000000002,-0.23741459251087016,-0.3243624895897933,0,0.9799749687108886
1989,Maha,1303.0,1283.0,7.51,16.54,1520,26.13,1647,1,0.7038814248590535,-0.7062485849142449,-0.2542619153610728,1.6189770495666471,0.9742291467954958,1.1205571465524435,1647,952.0,1342.0,1325.0,26.53,-0.49711526025412894,-0.41164420554843417,0,0.9846508058326938
1989,Yala,638.0,617.0,6.99,11.57,462,26.78,721,0,-1.0181730262248478,-0.0745469619745129,-0.286014305369969,0.6691901229813041,-0.8933647173971095,-0.8381304369772776,721,1647.0,952.0,825.6666666666666,26.673333333333332,0.07590170586945845,-0.19139794818494182,0,0.9670846394984326
1990,Maha,1237.0,1193.0,8.52,16.85,1950,26.74,1554,1,1.4037712301199965,-0.1134209080015758,-0.1925890039976398,1.6782192924723731,0.788873966289162,0.8558696352646434,1554,721.0,1647.0,1310.6666666666667,26.549999999999997,-0.159217007546699,-0.32320658202687813,0,0.9644300727566694
1990,Yala,806.0,763.0,8.03,21.5,515,27.07,891,0,-0.9319075385996618,0.2072891467216735,-0.2225095253521766,2.566852936058257,-0.4215515306537145,-0.4087484742215129,891,1554.0,721.0,975.6666666666666,26.863333333333333,-0.19317431849981892,-0.5711492284511637,0,0.9466501240694789
1991,Maha,1355.0,1292.0,9.35,11.79,1600,26.1,1630,1,0.834093481651787,-0.7354040444345378,-0.1419073045603631,0.7112330050434318,1.12026656173988,1.1470258976812235,1630,891.0,1554.0,1355.0,26.636666666666667,-0.6133957198432091,-0.10092915866008054,0,0.9535055350553505
1991,Yala,781.0,761.0,9.0,12.19,505,27.08,835,0,-0.9481840456987536,0.2170076332284366,-0.1632791055278894,0.7876746087927552,-0.491761826300053,-0.4146304189167973,835,1630.0,891.0,873.3333333333334,26.75,-0.2057631756220503,-0.12861080557071128,0,0.9743918053777209
1992,Maha,1348.0,1330.0,10.02,11.57,1430,26.3,1692,1,0.5573928609672282,-0.541034314299237,-0.1009955712796699,0.6691901229813041,1.1006076789589052,1.258782846891628,1692,835.0,1630.0,1178.3333333333333,26.49333333333333,-0.3015686643286942,-0.06758523876520936,0,0.9866468842729971
1992,Yala,630.0,601.0,9.7,11.38,477,26.83,710,0,-0.9937582655762104,-0.0259545294406902,-0.1205355035928368,0.6328803612003756,-0.9158320120039378,-0.8851859945395533,710,1692.0,835.0,804.0,26.736666666666668,0.025792528160826982,-0.07628455305130372,0,0.953968253968254
1993,Maha,1436.0,1385.0,11.03,10.1,1920,26.57,1670,1,1.3549417088227211,-0.2786351786165803,-0.0393226599162369,0.3882672292025405,1.3477479196340167,1.4205363260119503,1670,710.0,1692.0,1275.6666666666667,26.566666666666666,-0.3775344250528735,-0.015267700210551105,0,0.9644846796657381
1993,Yala,713.0,696.0,10.34,11.75,514,26.87,878,0,-0.933535189309571,0.0129194165863726,-0.081455638966503,0.7035888446684996,-0.6827338304580939,-0.6057936215135419,878,1670.0,710.0,970.3333333333334,26.756666666666664,-0.012060730008728556,-0.05731127891217626,0,0.9761570827489481
1994,Maha,1400.0,1357.0,12.38,8.06,1790,26.2,1761,1,1.1433471165345293,-0.6382191793668891,0.043111429529936,-0.0015849499190086,1.2466450939032894,1.3381891002779682,1761,878.0,1670.0,1408.0,26.546666666666667,-0.7297060584461662,-6.832945674181702e-05,0,0.9692857142857143
1994,Yala,861.0,830.0,11.72,8.45,467,26.95,1013,0,-1.010034772675302,0.0906673086404916,0.0028103191340292,0.0729456137365814,-0.2670888802317697,-0.2117033269294839,1013,1761.0,878.0,923.6666666666666,26.673333333333332,-0.09157713447178038,0.00020500045402741795,0,0.9639953542392566
1995,Maha,1233.0,1051.0,13.46,11.8,1610,25.98,1331,1,0.8503699887508787,-0.8520258825157198,0.1090587010868743,0.7131440451371651,0.7776403189857478,0.4382515618994476,1331,1013.0,1761.0,1289.0,26.376666666666665,-0.72453724013035,0.07777456325049847,0,0.8523925385239254
1995,Yala,861.0,841.0,13.03,7.67,455,27.1,1049,0,-1.029566581194212,0.2364446062419698,0.0828019170410561,-0.0761155135745991,-0.2670888802317697,-0.1793526311054194,1049,1331.0,1013.0,844.0,26.676666666666666,-0.2434354648903565,-0.006302510440541334,0,0.9767711962833914
