year,season,sown_000_acres,harvested_000_acres,gdp_billion_usd,inflation_pct,rainfall_mm,temperature_c,production_000_mt,season_binary,rainfall_mm_scaled,temperature_c_scaled,gdp_billion_usd_scaled,inflation_pct_scaled,sown_000_acres_scaled,harvested_000_acres_scaled,target_yield_production
1955,Yala,522.0,492.0,1.081,6.95,833,28.12,293,0,-0.4143146128485459,1.2277302299320072,-0.6468313679902916,-0.21371040032338115,-1.2191404891961204,-1.2057519804325556,293
1956,Maha,780.0,728.0,1.102,2.71,1095,26.76,422,1,0.012129873147656447,-0.09398393498804264,-0.64554905993224,-1.0239914000662091,-0.4945702381259066,-0.5116825063889907,422
1956,Yala,354.0,328.0,1.0,7.59,690,28.895000000000003,169,0,-0.6470686643655572,1.9809129342063028,-0.651777413357062,-0.09140383432446379,-1.6909536759395154,-1.6880714454458803,169
1957,Maha,841.0,716.0,0.834,3.18,1378,27.64,443,1,0.4727550240519514,0.7612428776072832,-0.6619137532445174,-0.9341725156607543,-0.32325711674884056,-0.5469741745606974,443
1957,Yala,428.0,411.0,0.77,1.62,422,28.69,232,0,-1.0832790546212145,1.781683960817617,-0.6658217397071508,-1.2322947702831155,-1.4831312008263533,-1.4439707405915758,232
1958,Maha,848.0,759.0,0.856,7.15,1434,26.27,458,1,0.5639034638068648,-0.5701897738195333,-0.6605703828979871,-0.17548959844871942,-0.3035982339678657,-0.42051236361208183,458
1958,Yala,542.0,523.0,1.035,5.44,899,28.895000000000003,322,0,-0.30688966599454076,1.9809129342063028,-0.6496402332603094,-0.502277454477077,-1.1629722526790496,-1.1145818376556467,322
1959,Maha,921.0,857.0,0.978,6.64,894,27.49,550,1,-0.3150279195440866,0.6154655800058049,-0.6531207837035923,-0.2729526432291069,-0.09858417068055719,-0.13229707354314388,550
1959,Yala,482.0,469.0,0.489,8.16,615,28.895000000000003,303,0,-0.7691424676087448,1.9809129342063028,-0.6829802427696503,0.01752545101832211,-1.331476962230262,-1.2733943444283269,303
1960,Maha,934.0,888.0,1.425,-0.21,1800,25.21,566,1,1.1596236236336208,-1.6003493435366303,-0.6258259407536372,-1.5820151074362703,-0.06207481694446115,-0.04112693076623492,566
1960,Yala,548.0,536.0,1.41,-1.54,540,28.895000000000003,349,0,-0.8912162708519326,1.9809129342063028,-0.6267418750808169,-1.8361834399027706,-1.1461217817239282,-1.0763491971362977,349
1961,Maha,958.0,936.0,67.745,1.32,2320,24.775,631,1,2.006001992786389,-2.023103506580913,3.4238250311502036,-1.2896259730951078,0.005327066876023847,0.10003974192059183,631
1961,Yala,538.0,519.0,1.44,1.13,510,28.895000000000003,334,0,-0.9400457921492077,1.9809129342063028,-0.6249100064264576,-1.3259357348760366,-1.1742058999824636,-1.1263457270462156,334
1962,Maha,1000.0,982.0,1.335,1.89,1762,26.3,660,1,1.0977728966570726,-0.541034314299237,-0.6313215467167154,-1.1806966877523222,0.12328036356187261,0.23532446991213413,660
1962,Yala,578.0,556.0,1.43,1.5,460,28.62,372,0,-1.021428327644666,1.7136545552702611,-0.625520629311244,-1.2552272514079126,-1.061869426948322,-1.0175297501834533,372
1963,Maha,1014.0,980.0,1.275,2.74,2470,25.56,672,1,2.2501495992727643,-1.2602023157998545,-0.6349852840254342,-1.01825827978501,0.16259812912382218,0.22944252521684969,672
1963,Yala,562.0,544.0,1.24,2.27,680,28.895000000000003,368,0,-0.6633451714646489,1.9809129342063028,-0.6371224641221868,-1.108077164190465,-1.1068040161619788,-1.05282141835516,368
1964,Maha,985.0,796.0,1.5,1.71,1440,25.36,482,1,0.5736693680663199,-1.4545720459351554,-0.6212462691177387,-1.2150954094395177,0.08115418617406947,-0.31169638674931954,482
1964,Yala,572.0,555.0,1.31,3.2,530,28.895000000000003,384,0,-0.9074927779510242,1.9809129342063028,-0.6328481039286815,-0.930350435473288,-1.0787198979034434,-1.0204707225310956,384
1965,Maha,1050.0,1007.0,1.725,0.03,1930,26.01,642,1,1.371218215921813,-0.8228704229954233,-0.6075072542100433,-1.5361501451866761,0.2637009548545497,0.3088487786031897,642
1965,Yala,471.0,447.0,1.7,0.22,520,28.36,276,0,-0.923769285050116,1.4609739060943676,-0.6090338114220094,-1.4998403834057474,-1.362369492314651,-1.3380957360764556,276
1966,Maha,1054.0,1006.0,1.8,1.02,1680,26.12,730,1,0.9643055384445206,-0.7159670714210081,-0.6029275825741447,-1.3469571759071006,0.27493460215796384,0.30590780625554753,730
1966,Yala,567.0,505.0,1.75,-0.16,450,28.895000000000003,315,0,-1.0377048347437579,1.9809129342063028,-0.6059806969980771,-1.5724599069676046,-1.092761957032711,-1.1675193399132067,315
1967,Maha,1147.0,1078.0,1.83,4.03,2080,26.35,909,1,1.6153658224081884,-0.4924418817654109,-0.6010957139197853,-0.771734107693442,0.5361169019623433,0.5176578152857877,909
1967,Yala,585.0,561.0,1.86,2.19,390,28.895000000000003,418,0,-1.135363877338308,1.9809129342063028,-0.599263845265426,-1.1233654849403296,-1.0422105441673473,-1.0028248884452422,418
1968,Maha,1182.0,1079.0,1.89,6.66,1330,25.58,982,1,0.39462778997631126,-1.2407653427863248,-0.5974319766110665,-0.2691305630416406,0.6344113158672172,0.5205987876334298,982
1968,Yala,596.0,556.0,1.8,5.86,650,28.895000000000003,439,0,-0.7121746927619239,1.9809129342063028,-0.6029275825741447,-0.4220137705402874,-1.0113180140829583,-1.0175297501834533,439
1969,Maha,1191.0,1115.0,2.14,6.67,1910,26.39,1034,1,1.3386652017236296,-0.4535679357383514,-0.5821664044914049,-0.2672195229479076,0.6596870222998991,0.6264737921485499,1034
1969,Yala,527.0,461.0,1.97,7.46,385,28.895000000000003,395,0,-1.143502130887854,1.9809129342063028,-0.5925469935327747,-0.11624735554299387,-1.2050984300668526,-1.2969221232094645,395
1970,Maha,1147.0,1089.0,2.34,4.27,1740,25.78,869,1,1.0619645810390708,-1.0463956126510205,-0.5699539467956756,-0.7258691454438481,0.5361169019623433,0.5500085111098522,869
1970,Yala,684.0,661.0,2.3,5.87,550,26.5,584,0,-0.8749397637528409,-0.34666458416393614,-0.5723964383348215,-0.42010273044655433,-0.7641777734078466,-0.7087276536810198,584
1971,Maha,1186.0,1035.0,2.46,4.51,1730,25.41,885,1,1.045688073939979,-1.4059796134013294,-0.5626264721782379,-0.6800041831942539,0.6456449631706314,0.391196004337172,885
1971,Yala,646.0,625.0,2.37,2.67,470,27.9,530,0,-1.0051518205455745,1.0139235267831732,-0.5681220781413161,-1.0316355604411416,-0.8708974227902812,-0.8146026581961399,530
1972,Maha,1176.0,1085.0,2.72,7.99,1800,26.1,878,1,1.1596236236336208,-0.7354040444345378,-0.5467502771737899,-0.01496223057514032,0.617560844912096,0.5382446217192832,878
1972,Yala,609.0,543.0,2.55,6.35,430,26.5,430,0,-1.0702578489419412,-0.34666458416393614,-0.5571308662151597,-0.32837280594736634,-0.9748086603468622,-1.0557623907028022,430
1973,Maha,1318.0,1288.0,3.23,10.97,1770,26.32,1100,1,1.110794102336346,-0.5215973412857072,-0.5156085100496801,0.5545277173573191,1.016355324183299,1.1352620082906546,1100
1973,Yala,613.0,575.0,2.88,9.63,480,26.8,437,0,-0.9888753134464827,-0.05510998896098316,-0.5369803110172066,0.2984483447970857,-0.9635750130434481,-0.961651275578251,437
1974,Maha,1096.0,875.0,3.68,9.47,1330,26.2,720,1,0.39462778997631126,-0.6382191793668891,-0.48813048023428923,0.2678717032973563,0.3928878988438126,-0.07935957128558384,720
1974,Yala,720.0,681.0,3.57,12.3,410,26.34,505,0,-1.1028108631401246,-0.5021603682721775,-0.4948473319669403,0.8086960498238194,-0.663074947677119,-0.6499082067281753,505
1975,Maha,1147.0,1052.0,3.69,3.98,1830,25.03,884,1,1.208453144930896,-1.7752821006584012,-0.48751985734950276,-0.7812893081621073,0.5361169019623433,0.4411925342470898,884
1975,Yala,624.0,600.0,3.79,6.63,520,26.32,436,0,-0.923769285050116,-0.5215973412857072,-0.48141362850163805,-0.27486368332283995,-0.9326824829590591,-0.8881269668871954,436
1976,Maha,1329.0,1250.0,3.85,1.28,1350,25.62,1146,1,0.42718080417449467,-1.201891396759262,-0.4777498911929193,-1.2972701334700403,1.047247854267688,1.0235050590802501,1146
1976,Yala,642.0,518.0,3.59,1.33,460,26.57,371,0,-1.021428327644666,-0.2786351786165803,-0.49362608619736736,-1.2877149330013749,-0.8821310700936954,-1.1292866993938577,371
1977,Maha,1421.0,1366.0,3.42,6.68,1970,25.24,1288,1,1.4363242443181796,-1.5711938840163373,-0.5040066752387373,-0.2653084828541745,1.3056217422462137,1.3646578514067482,1288
1977,Yala,717.0,683.0,4.1,1.22,510,26.65,534,0,-0.9400457921492077,-0.20088728656246138,-0.46248431907325765,-1.308736374032439,-0.6715001831546797,-0.6440262620328908,534
1978,Maha,1428.0,1361.0,3.05,11.44,1710,26.46,1395,1,1.0131350597417956,-0.3855385301909956,-0.5265997219758365,0.6443466017627738,1.3252806250271885,1.349952989668537,1395
1978,Yala,742.0,708.0,2.73,12.14,485,26.76,606,0,-0.9807370598969369,-0.09398393498804264,-0.5461396542890034,0.77811940832409,-0.6012898875083412,-0.5705019533418353,606
1979,Maha,1417.0,1382.0,3.69,18.44,1730,26.32,1453,1,1.045688073939979,-0.5215973412857072,-0.48751985734950276,1.9820746673759337,1.2943880949427995,1.4117134089690238,1453
1979,Yala,647.0,575.0,3.36,10.73,435,26.99,524,0,-1.0621195953923954,0.1295412546675511,-0.5076704125474562,0.508662755107725,-0.8680890109644277,-0.961651275578251,524
1980,Maha,1474.0,1410.0,4.22,22.06,1320,26.58,1522,1,0.3783512828772196,-0.26891669210981717,-0.45515684445582005,2.6738711813073097,1.4544675690164515,1.494060634703006,1522
1980,Yala,670.0,648.0,4.02,22.645000000000003,465,27.06,681,0,-1.0132900740951203,0.1975706602149069,-0.46736930215154937,2.785667026790696,-0.8034955389697962,-0.7469602942003687,681
1981,Maha,1402.0,1183.0,4.6,14.4,1730,26.43,1363,1,1.045688073939979,-0.41469398971129195,-0.43195317483393436,1.2100144695077673,1.2522619175549965,0.8264599117882212,1363
1981,Yala,692.0,671.0,4.42,17.97,470,26.76,707,0,-1.0051518205455745,-0.09398393498804264,-0.44294438676009074,1.8922557829704783,-0.7417104788010183,-0.6793179302045975,707
1982,Maha,1440.0,1381.0,4.97,12.4,1440,26.14,1786,1,0.5736693680663199,-0.6965300984074784,-0.40936012809683514,0.8278064507611501,1.358981566937431,1.4087724366213814,1786
1982,Yala,684.0,661.0,4.77,10.83,445,26.9,793,0,-1.0458430882933036,0.042074876106665535,-0.42157258579256446,0.5277731560450558,-0.7641777734078466,-0.7087276536810198,793
1983,Maha,1499.0,1258.0,5.61,15.3,1390,26.51,1353,1,0.4922868325708614,-0.33694609765716954,-0.3702802634705013,1.382008077943745,1.5246778646627899,1.047032837861388,1353
1983,Yala,596.0,541.0,5.17,13.96,460,27.2,698,0,-1.021428327644666,0.3336294713096185,-0.3971476704011058,1.1259287053835114,-1.0113180140829583,-1.0616443353980867,698
1984,Maha,1405.0,1382.0,6.01,9.06,2070,26.5,1751,1,1.5990893153090966,-0.34666458416393614,-0.3458553480790427,0.1895190594542998,1.260687153032557,1.4117134089690238,1751
1984,Yala,948.0,931.0,6.04,16.64,525,26.52,1060,0,-0.9156310315005701,-0.3272276111504064,-0.3440234794246833,1.6380874505039782,-0.02275705138251157,0.08533488018238071,1060
1985,Maha,1372.0,1302.0,6.2,4.73,1770,25.1,1688,1,1.110794102336346,-1.7072526951110454,-0.3342535132680998,-0.637961301132126,1.16800956277939,1.1764356211576459,1688
1985,Yala,771.0,757.0,5.98,1.48,512,26.76,910,0,-0.9367904907293894,-0.09398393498804264,-0.3476872167334021,-1.2590493315953786,-0.5198459445585885,-0.42639430830736624,910
1986,Maha,1255.0,1069.0,6.55,7.85,1650,25.23,1392,1,0.9154760171472455,-1.5809123705231005,-0.31288171230057354,-0.04171679188740362,0.8394253791545258,0.49118906415700764,1392
1986,Yala,840.0,762.0,6.41,7.98,475,26.86,900,0,-0.9970135669960286,0.003200930079606057,-0.32143043268758403,-0.016873270668873366,-0.32606552857469406,-0.4116894465691551,900
1987,Maha,1346.0,1232.0,6.83,10.9,1330,25.46,1525,1,0.39462778997631126,-1.3573871808675033,-0.2957842715265525,0.5411504367011875,1.094990855307198,0.9705675568226901,1525
1987,Yala,676.0,608.0,6.68,7.72,425,27.24,735,0,-1.078396102491487,0.372503417336678,-0.3049436147983495,-0.0665603131059337,-0.7866450680146749,-0.8645991881060576,735
1988,Maha,1159.0,1087.0,6.985,12.78,1960,26.35,1342,1,1.420047737219088,-0.4924418817654109,-0.2863196168123623,0.9004259743230072,0.5698178438725857,0.5441265664145677,1342
1988,Yala,799.0,783.0,6.98,13.99,495,27.11,952,0,-0.9644605527978453,0.24616309274873296,-0.2866249282547555,1.1316618256647106,-0.4412104134346893,-0.3499290272686684,952
1989,Maha,1303.0,1283.0,7.51,16.54,1520,26.13,1647,1,0.7038814248590535,-0.7062485849142449,-0.25426191536107284,1.6189770495666471,0.9742291467954958,1.1205571465524435,1647
1989,Yala,638.0,617.0,6.99,11.57,462,26.78,721,0,-1.0181730262248478,-0.0745469619745129,-0.286014305369969,0.6691901229813041,-0.8933647173971095,-0.8381304369772776,721
1990,Maha,1237.0,1193.0,8.52,16.85,1950,26.74,1554,1,1.4037712301199963,-0.11342090800157582,-0.19258900399763984,1.6782192924723731,0.788873966289162,0.8558696352646434,1554
1990,Yala,806.0,763.0,8.03,21.5,515,27.07,891,0,-0.9319075385996618,0.2072891467216735,-0.22250952535217666,2.5668529360582575,-0.4215515306537145,-0.40874847422151295,891
1991,Maha,1355.0,1292.0,9.35,11.79,1600,26.1,1630,1,0.834093481651787,-0.7354040444345378,-0.14190730456036318,0.7112330050434318,1.12026656173988,1.1470258976812235,1630
1991,Yala,781.0,761.0,9.0,12.19,505,27.08,835,0,-0.9481840456987535,0.21700763322843664,-0.16327910552788943,0.7876746087927552,-0.49176182630005305,-0.41463041891679736,835
1992,Maha,1348.0,1330.0,10.02,11.57,1430,26.3,1692,1,0.5573928609672282,-0.541034314299237,-0.10099557127966997,0.6691901229813041,1.1006076789589052,1.258782846891628,1692
1992,Yala,630.0,601.0,9.7,11.38,477,26.83,710,0,-0.9937582655762103,-0.025954529440690276,-0.12053550359283689,0.6328803612003756,-0.9158320120039378,-0.8851859945395533,710
1993,Maha,1436.0,1385.0,11.03,10.1,1920,26.57,1670,1,1.3549417088227211,-0.2786351786165803,-0.03932265991623695,0.3882672292025405,1.3477479196340167,1.4205363260119503,1670
1993,Yala,713.0,696.0,10.34,11.75,514,26.87,878,0,-0.933535189309571,0.012919416586372653,-0.08145563896650306,0.7035888446684996,-0.6827338304580939,-0.6057936215135419,878
1994,Maha,1400.0,1357.0,12.38,8.06,1790,26.2,1761,1,1.1433471165345293,-0.6382191793668891,0.043111429529936,-0.0015849499190086728,1.2466450939032894,1.3381891002779682,1761
1994,Yala,861.0,830.0,11.72,8.45,467,26.95,1013,0,-1.010034772675302,0.0906673086404916,0.0028103191340292572,0.07294561373658141,-0.2670888802317697,-0.2117033269294839,1013
1995,Maha,1233.0,1051.0,13.46,11.8,1610,25.98,1331,1,0.8503699887508787,-0.8520258825157198,0.1090587010868743,0.7131440451371651,0.7776403189857478,0.4382515618994476,1331
1995,Yala,861.0,841.0,13.03,7.67,455,27.1,1049,0,-1.029566581194212,0.23644460624196983,0.08280191704105619,-0.0761155135745991,-0.2670888802317697,-0.17935263110541946,1049
1996,Maha,1169.0,1095.0,14.5,12.76,1730,26.38,1457,1,1.045688073939979,-0.463286422245118,0.17256348110466668,0.8966038941355411,0.5979019621311211,0.5676543451957055,1457
1996,Yala,617.0,580.0,13.9,15.94,500,26.97,730,0,-0.9563222992482994,0.11010428165402135,0.13592610801747876,1.504314643942662,-0.9523413657400339,-0.94694641384004,730
1997,Maha,1418.0,1391.0,15.44,9.47,2000,26.48,1781,1,1.4851537656154548,-0.3661015571774659,0.2299620322745944,0.2678717032973563,1.297196506768653,1.4381821600978038,1781
1997,Yala,635.0,610.0,15.09,9.57,545,27.2,782,0,-0.8830780173023868,0.3336294713096185,0.20859023130706814,0.2869821042346871,-0.9017899528746701,-0.8587172434107732,782
1998,Maha,1351.0,1331.0,15.73,7.03,1620,26.03,1736,1,0.8666464958499704,-0.8034334499818936,0.24767009593340197,-0.19842207957351646,1.1090329144364657,1.2617238192392703,1736
1998,Yala,678.0,657.0,15.79,9.36,460,27.61,911,0,-1.021428327644666,0.7320874180869869,0.2513338332421207,0.24685026226629217,-0.7810282443629678,-0.7204915430715887,911
1999,Maha,1357.0,1300.0,15.99,5.44,1740,25.94,1781,1,1.0619645810390708,-0.8908998285427792,0.2635462909378501,-0.502277454477077,1.125883385391587,1.1705536764623614,1781
1999,Yala,854.0,823.0,15.66,4.69,472,26.91,1121,0,-1.001896519125756,0.05179336261343213,0.2433957357398967,-0.6456054615070583,-0.2867477630127445,-0.2322901333629795,1121
2000,Maha,1184.0,1163.0,16.04,10.17,1780,26.16,1613,1,1.1270706094354375,-0.6770931253939486,0.26659940536178234,0.4016445098586721,0.6400281395189243,0.7676404648353767,1613
2000,Yala,812.0,756.0,16.33,6.18,465,27.07,1079,0,-1.0132900740951203,0.2072891467216735,0.2843074690205898,-0.3608604875408288,-0.40470105969859327,-0.4293352806550085,1079
2001,Maha,1261.0,1232.0,16.15,11.86,1470,26.52,1774,1,0.622498889363595,-0.3272276111504064,0.2733162570944334,0.7246102856995634,0.856275850109647,0.9705675568226901,1774
2001,Yala,789.0,727.0,15.75,14.16,395,27.22,1082,0,-1.1272256237887621,0.35306644432314827,0.2488913417029749,1.1641495072581731,-0.4692945316932247,-0.5146234787366329,1082
2002,Maha,1487.0,1383.0,17.71,7.93,1730,26.43,1895,1,1.045688073939979,-0.41469398971129195,0.36857342712112223,-0.026428471137538927,1.4909769227525476,1.4146543813166659,1895
2002,Yala,845.0,793.0,16.54,9.55,422,27.32,1086,0,-1.0832790546212145,0.4502513093908004,0.29713054960110563,0.283160024047221,-0.31202346944542636,-0.3205193037922462,1086
2003,Maha,1287.0,1159.0,19.77,6.95,1660,26.33,1670,1,0.9317525242463371,-0.5118788547789441,0.49436174138713407,-0.21371040032338115,0.9292945575818391,0.7558765754448078,1670
2003,Yala,941.0,867.0,18.88,6.31,450,27.3,1172,0,-1.0377048347437579,0.4308143363772707,0.4400163046411386,-0.3360169663222987,-0.042415934163486366,-0.10288735006672163,1172
2004,Maha,1435.0,1408.0,22.54,9.61,1970,26.27,2013,1,1.4363242443181796,-0.5701897738195333,0.663504280472985,0.29462626460961927,1.3449395078081632,1.4881786900077216,2013
2004,Yala,637.0,620.0,20.66,7.58,510,27.04,958,0,-0.9400457921492077,0.17813368720137715,0.5487071781331295,-0.09331487441819683,-0.8961731292229631,-0.8293075199343509,958
2005,Maha,1461.0,1448.0,26.35,10.83,1630,26.78,2135,1,0.8829230029490621,-0.0745469619745129,0.8961515995766286,0.5277731560450558,1.4179582152803554,1.6058175839134106,2135
2005,Yala,881.0,853.0,24.41,11.64,480,27.2,1233,0,-0.9888753134464827,0.3336294713096185,0.7776907599280541,0.6825674036374357,-0.21092064371469887,-0.14406096293371276,1233
2006,Maha,1298.0,1265.0,30.32,12.93,2170,26.06,1973,1,1.7618543863000136,-0.7742779904616007,1.1385688848368554,0.9290915757290036,0.9601870876662281,1.0676196442948835,1973
2006,Yala,789.0,776.0,28.28,10.02,545,27.16,1206,0,-0.8830780173023868,0.29475552528255905,1.0140018163404165,0.3729789084526758,-0.4692945316932247,-0.370515833702164,1206
2007,Maha,1437.0,1404.0,36.53,19.2,1600,26.39,2125,1,0.834093481651787,-0.4535679357383514,1.5177656962892507,2.127313714499648,1.3505563314598703,1.4764148006171527,2125
2007,Yala,720.0,701.0,32.35,15.84,490,27.1,1158,0,-0.972598806347391,0.23644460624196983,1.262525330448508,1.4852042430053314,-0.663074947677119,-0.5910887597753308,1158
2008,Maha,1562.0,1495.0,41.39,13.02,1960,26.36,2384,1,1.420047737219088,-0.48272339525864777,1.8145284182954728,0.9462909365726013,1.701607809691563,1.744043284252595,2384
2008,Yala,1165.0,1148.0,40.71,22.56,500,27.03,1750,0,-0.9563222992482994,0.16841520069461402,1.7730060621299932,2.769423185993964,0.586668314827707,0.7235258796207433,1750
2009,Maha,1596.0,1590.0,50.36,4.85,1520,26.45,2630,1,0.7038814248590535,-0.3952570166977622,2.3622571459489325,-0.6150288200073291,1.7970938117705835,2.0234356572786063,2630
2009,Yala,853.0,834.0,42.07,3.47,430,27.41,1268,0,-1.0702578489419412,0.537717687951686,1.8560507744609527,-0.8787523529424947,-0.289556174838598,-0.19993943753891502,1268
2010,Maha,1804.0,1516.0,63.19,6.47,1840,26.51,1996,1,1.2247296520299877,-0.33694609765716954,3.145686307129968,-0.30544032482256933,2.38124347154812,1.8058037035530818,1996
2010,Yala,1036.0,1031.0,58.64,6.22,445,27.43,1671,0,-1.0458430882933036,0.5571546609652157,2.867852894552126,-0.35321632716589646,0.22438318929260012,0.3794321149466031,1671
2011,Maha,1735.0,1692.0,67.745,7.13,1640,26.14,2718,1,0.8991995100481538,-0.6965300984074784,3.4238250311502036,-0.1793116786361857,2.187463055564226,2.323414836738113,2718
2011,Yala,1218.0,1209.0,67.745,6.72,410,27.26,1898,0,-1.1028108631401246,0.39194039035021117,3.4238250311502036,-0.2576643224792422,0.7355141415979447,0.902925192826919,1898
2012,Maha,1927.0,1833.0,67.745,7.23,1720,25.96,2846,1,1.0294115668408874,-0.8714628555292494,3.4238250311502036,-0.16020127769885473,2.726678126128106,2.7380919377556667,2846
2012,Yala,901.0,754.0,67.745,7.54,420,27.45,1129,0,-1.086534356041033,0.5765916339787455,3.4238250311502036,-0.10095903479312918,-0.15475240719762803,-0.43521722535029295,1129
2013,Maha,1609.0,1433.0,67.745,5.05,1530,26.31,2235,1,0.7201579319581451,-0.5313158277924739,3.4238250311502036,-0.5768080181326674,1.8336031655066796,1.5617029986987772,2235
2013,Yala,1106.0,1104.0,67.745,6.91,460,27.19,1774,0,-1.021428327644666,0.32391098480285535,3.4238250311502036,-0.2213545606983135,0.42097201710234805,0.5941230963244855,1774
2014,Maha,1909.0,1816.0,67.745,3.48,1810,26.24,2877,1,1.1759001307327126,-0.5993452333398297,3.4238250311502036,-0.8768413128487615,2.676126713262742,2.688095407845749,2877
2014,Yala,773.0,743.0,67.745,3.18,475,27.35,1145,0,-0.9970135669960286,0.47940676891109674,3.4238250311502036,-0.9341725156607543,-0.5142291209068813,-0.4675679211743574,1145
2015,Maha,1868.117,1835.0,67.745,3.87,2290,26.33,2903,1,1.9571724714891139,-0.5118788547789441,3.4238250311502036,-0.8023107491931714,2.5613104125863715,2.7439738824509514,2903
2015,Yala,1188.0,1176.0,67.745,3.77,550,27.32,1942,0,-0.8749397637528409,0.4502513093908004,3.4238250311502036,-0.8214211501305023,0.6512617868223385,0.8058731053547256,1942
2016,Maha,1340.683,946.0,67.745,5.83,1420,26.43,1474,1,0.5411163538681365,-0.41469398971129195,3.4238250311502036,-0.4277468908214867,1.0800585296291347,0.12944946539701407,1474
2016,Yala,952.14,939.0,67.745,3.96,435,27.7,1517,0,-1.0621195953923954,0.8195537966478723,3.4238250311502036,-0.7851113883495736,-0.011130226423477945,0.1088626589635185,1517
2017,Maha,1648.664,1532.0,67.745,4.92,1730,27.02,2397,1,1.045688073939979,0.15869671418784742,3.4238250311502036,-0.6016515393511974,1.9449960121673344,1.8528592611153574,2397
2017,Yala,615.594,584.0,67.745,7.7,425,28.895000000000003,909,0,-1.078396102491487,1.9809129342063028,3.4238250311502036,-0.07038239329339979,-0.9562899927671838,-0.935182524449471,909
2018,Maha,1848.414,1789.33,67.745,2.84,1800,26.95,3073,1,1.1596236236336208,0.0906673086404916,3.4238250311502036,-0.9991478788476791,2.505976274381579,2.6096596753341306,3073
2018,Yala,923.598,897.0,67.745,2.14,440,28.895000000000003,1533,0,-1.0539813418428494,1.9809129342063028,3.4238250311502036,-1.132920685408995,-0.09128791675698981,-0.014658179637454905,1533
2019,Maha,1858.842,1828.371,67.745,4.84,2010,26.86,3197,1,1.5014302727145465,0.003200930079606057,3.4238250311502036,-0.6169398601010622,2.5352623929015805,2.7244781767584314,3197
2019,Yala,911.586,855.0,67.745,3.53,515,28.12,1519,0,-0.9319075385996618,1.2277302299320072,3.4238250311502036,-0.8672861123800963,-0.1250225596091424,-0.13817901823842832,1519
2020,Maha,1903.299,1883.951,67.745,6.58,1600,27.03,3061,1,0.834093481651787,0.16841520069461402,3.4238250311502036,-0.2844188837915053,2.660115957443551,2.887937419840386,3061
2020,Yala,1127.308,1113.801,67.745,6.15,415,28.49,1924,0,-1.0946726095905788,1.5873142306823125,3.4238250311502036,-0.36659360782202793,0.4808136562876353,0.6229475663037267,1924
2021,Maha,1917.157,1893.185,67.745,22.645000000000003,2040,26.54,1931,1,1.5502597940118215,-0.3077906381368767,3.4238250311502036,2.785667026790696,2.6990349285262294,2.915094358498514,1931
2021,Yala,1239.153,1227.53,67.745,7.01,520,28.895000000000003,2088,0,-0.923769285050116,1.9809129342063028,3.4238250311502036,-0.20224415976098273,0.7949204769502247,0.9574214104287293,2088
2022,Maha,2007.977,1996.28,67.745,22.645000000000003,1800,26.73,2696,1,1.1596236236336208,-0.12313939450833897,3.4238250311502036,2.785667026790696,2.954094890550248,3.218293902678689,2696
